name,current_rank,current_pts
Laura Mair,426,144
Aneta Laboutková,427,143
Weronika Ewald,428,143
Vaidehi Chaudhari,429,142
Denislava Glushkova,430,142
Victoria Allen,431,141
Alena Kovačková,432,141
Diana Martynov,433,140
Iva Primorac,434,140
Hannah Klugman,435,139
Tatiana Pieri,436,139
Justina Gonzalez Daniele,437,138
Maria Golovina,438,138
Alana Subasic,439,136
Chengyiyi Yuan,440,136
Victoria Milovanova,441,136
Anastasia Pavlyuchenkova,442,135
Heather Watson,443,135
Sapfo Sakellaridi,444,134
Lidia Encheva,445,134
Nadia Podoroska,446,133
Emily Appleton,447,133
Tara Würth,448,132
Amelia Honer,449,132
Rasheeda Mcadoo,450,132
Victoria Azarenka,451,130
Victoria Rodríguez,452,129
Sofia Johnson,453,129
Camilla Zanolini,454,128
Hikaru Sato,455,128
Irina-Camelia Begu,456,127
Ella Mcdonald,457,127
Fernanda Labrana,458,127
Arina Rodionova,459,126
Ekaterina Reyngold,460,126
Maria Urrutia,461,126
Lucía Cortez Llorca,462,126
Lan Mi,463,126
Ana Candiotto,464,125
Marie Vogt,465,124
Esther Adeshina,466,123
Astrid Lew Yan Foon,467,123
Haley Giavara,468,123
Sofia Shapatava,469,123
Zhibek Kulambayeva,470,122
Patcharin Cheapchandej,471,122
Ekaterina Maklakova,472,122
Kristina Kroitor,473,122
Yujia Huang,474,121
Luiza Fullana,475,121
Katharina Hobgarski,476,121
Valentina Ivanov,477,121
Beatrise Zeltiņa,478,121
Julia Adams,479,121
Ena Shibahara,480,120
Jasmijn Gimbrère,481,120
Jana Otzipka,482,119
Martina Okáľová,483,118
Aneta Kučmová,484,118
Kayo Nishimura,485,118
Ekaterina Kazionova,486,117
Elina Nepliy,487,117
Mio Mushika,488,117
Carmen Andreea Herea,489,116
Gergana Topalova,490,115
Valentina Steiner,491,115
Irina Balus,492,115
Ekaterina Khayrutdinova,493,115
Katarina Jokić,494,114
Andreea Prisăcariu,495,114
Dana Guzman,496,114
Sofia Cabezas Dominguez,497,113
Vittoria Paganetti,498,113
Eva Voracek,499,113
Clervie Ngounoue,500,112
Maria Martinez Vaquero,501,112
Angella Okutoyi,502,112
Erika Sema,503,112
Isabella Serban,504,112
Nahia Berecoechea,505,111
Wushuang Zheng,506,110
Sara Dols,507,110
Anna Kubareva,508,109
Ekaterina Yashina,509,108
Andre Lukosiute,510,108
Gina Dittmann,511,107
Ya Yi Yang,512,107
Jiayi Wang,513,107
Alisa Oktiabreva,514,106
Carla Markus,515,106
Viola Turini,516,106
Victoria Hu,517,105
Rinko Matsuda,518,105
Yaroslava Bartashevich,519,104
Yuno Kitahara,520,104
Daria Yesypchuk,521,104
Thasaporn Naklo,522,103
Loes Ebeling Koning,523,103
Adithya Karunaratne,524,103
Emma Léné,525,102
Louisa Chirico,526,101
Sarah van Emst,527,101
Lina Glushko,528,100
Nellie Taraba Wallberg,529,100
Carmen Gallardo Guevara,530,99
Mara Guth,531,99
Ana Grubor,532,98
Océane Babel,533,98
Adrienn Nagy,534,98
Briana Szabó,535,97
Arianne Hartono,536,96
Tahlia Kokkinis,537,96
Maria Garcia Cid,538,95
Marie Mettraux,539,95
Ekaterina Perelygina,540,94
Zeel Desai,541,94
Dune Vaissaud,542,94
Elena Korokozidi,543,94
Josy Daems,544,94
Ksenia Zaytseva,545,93
Sofia Rocchetti,546,93
Ida Wobker,547,93
Margaux Maquet,548,93
Ann Akasha Ceuca,549,93
Yafan Wang,550,92
Jana Kovačková,551,92
Ranah Stoiber,552,91
Valentini Grammatikopoulou,553,91
Beatrice Ricci,554,90
Evialina Laskevich,555,90
Destanee Aiava,556,89
Anastasia Abbagnato,557,89
Pia Lovrič,558,89
Shilin Xu,559,88
Bella Payne,560,88
Tamila Gadamauri,561,88
Naho Sato,562,88
Carson Branstine,563,87
Thaisa Grana Pedretti,564,87
Valeriya Strakhova,565,87
Verena Meliss,566,87
Linea Bajraliu,567,87
Annika Penickova,568,87
Alina Shcherbinina,569,87
Dunja Marić,570,87
Mayuka Aikawa,571,87
Ayano Shimizu,572,85
Oana Georgeta Simion,573,85
Gaia Maduzzi,574,85
Sara Cakarevic,575,85
Antonia Schmidt,576,84
Laima Vladson,577,84
Maria Kalyakina,578,84
Ruth Roura Llaverias,579,83
Thea Frodin,580,83
Maria Kozyreva,581,83
Natsuki Yoshimoto,582,83
Lucie Petruželová,583,83
Luciana Moyano,584,83
Neus Torner Sensano,585,82
Carol Zhao,586,81
Ksenia Efremova,587,81
Anastasiia Firman,588,81
Anastasija Sevastova,589,80
Ankita Raina,590,80
Enola Chiesa,591,80
Jana Kolodynska,592,80
Isis Louise van Den Broek,593,80
Nauhany Vitoria Leme Da Silva,594,79
Dalayna Hewitt,595,79
Sarah Rokusek,596,79
Irem Kurt,597,79
Daria Zelinskaya,598,79
Antonia Stoyanov,599,79
Daria Lodikova,600,79
Xinran Sun,601,78
Alexis Blokhina,602,78
Kristina Dmitruk,603,77
Renata Jamrichová,604,77
Su-jeong Jang,605,77
Carson Tanguilig,606,77
Arina Bulatova,607,77
Alexandra Vagramov,608,76
Tilwith Di Girolami,609,76
Dasha Ivanova,610,76
Venus Williams,611,75
Sachia Vickery,612,75
Sara Daavettila,613,75
Franziska Sziedat,614,75
Michika Ozeki,615,75
Junhan Zhang,616,75
Arianna Zucchini,617,75
Tian Jialin,618,74
Jana Fett,619,73
Jennifer Brady,620,73
Nicole Fossa Huergo,621,73
Meiqi Guo,622,73
Indianna Spink,623,73
Mathilde Lollia,624,73
Alba Rey Garcia,625,73
Cody Wong,626,72
Gaeul Jang,627,72
Carolina Kuhl,628,72
Tessah Andrianjafitrimo,629,71
Emily Seibold,630,71
Chelsea Fontenel,631,71
Katy Dunne,632,70
Shrivalli Bhamidipaty,633,70
Urszula Radwańska,634,70
Kisa Yoshioka,635,70
Melisa Ercan,636,70
Marie Weckerle,637,70
Camilla Gennaro,638,70
Ekaterina Ovcharenko,639,69
Ilinca Amariei,640,69
Ikumi Yamazaki,641,69
Ekaterina Tupitsyna,642,69
Shannon Lam,643,69
Astrid Cirotte,644,69
Maria Lazarenko,645,69
Federica Sacco,646,69
Chenting Zhu,647,68
Sae Noguchi,648,68
Ava Markham,649,68
Anja Stanković,650,68
Aruzhan Sagandikova,651,68
Cheuk Ying Shek,652,68
Ruien Zhang,653,67
Cristina Diaz Adrover,654,67
Luca Udvardy,655,67
Alizé Lim,656,67
Alice Gillan,657,67
Nada Fouad,658,67
Maria Fernanda Navarro,659,65
Berta Bonardi,660,65
Angelica Raggi,661,65
Eliška Ticháčková,662,65
Polina Leykina,663,65
Elza Tomase,664,65
Clara Vlasselaer,665,65
Belle Thompson,666,65
Jodie Burrage,667,64
Ying Zhang,668,64
Valeria Savinykh,669,64
Denisa Žoldáková,670,64
Merna Refaat,671,64
Iva Ivanova,672,64
Kailey Evans,673,64
Merel Hoedt,674,64
Wakana Sonobe,675,63
Julia Konishi Camargo Silva,676,63
Francesca Gandolfi,677,63
Amarni Banks,678,63
Fiona Ganz,679,63
Celia Cerviño Ruiz,680,63
Allegra Korpanec Davies,681,63
Alexis Nguyen,682,62
Alina Trynkina,683,62
Bianca Barbulescu,684,62
Kristina Novak,685,61
Olivia Lincer,686,61
Ema Burgić Bucko,687,61
Rebecca Munk Mortensen,688,61
Carolina Bohrer Martins,689,61
Marta Lombardini,690,60
Mary Lewis,691,60
Amy Zhu,692,60
Demi Tran,693,60
Shiyu Ye,694,60
Marianna Argyrokastriti,695,60
Gabriella Da Silva Fick,696,60
Jaeda Daniel,697,60
Anne Christine Lutkemeyer Obregon,698,60
Amélie Van Impe,699,60
Nuria Párrizas Díaz,700,59
Gabriela Lee,701,59
Noelia Zeballos,702,59
Yuhan Wang,703,59
Alja Senica,704,59
Petra Sedláčková,705,59
Noemi Maines,706,59
Shiho Akita,707,58
Sophia Biolay,708,58
Ha Eum Lee,709,58
Anna Snigireva,710,58
Daria Kuczer,711,57
Nina Radovanovic,712,57
Asylzhan Arystanbekova,713,57
Zoziya Kardava,714,57
Sabine Rutlauka,715,57
Eleejah Inisan,716,56
Teah Chavez,717,56
Anastasia Bertacchi,718,56
Tatum Evans,719,56
Yasmin Ezzat,720,56
Mariia Tkacheva,721,55
Johanne Svendsen,722,55
Yuliya Hatouka,723,55
Gyeong Seo Lee,724,54
Ksenia Smirnova,725,54
Ivana Šebestová,726,54
Rose Marie Nijkamp,727,54
Laia Petretic,728,54
Karla Popovic,729,54
Fangzhou Liu,730,53
Jenny Duerst,731,53
Stefani Webb,732,52
Anna Petkovic,733,52
Marine Szostak,734,52
Valeriia Artemeva,735,52
Saki Imamura,736,51
Luna Maria Cinalli,737,51
Felitsata Dorofeeva-Rybas,738,51
Jo-Yee Chan,739,51
Eliz Maloney,740,51
Darja Suvirdjonkova,741,51
Kristina Penickova,742,50
Yiming Dang,743,50
Jessica Hinojosa Gomez,744,50
Polina Kuharenko,745,50
Amélie Hejtmánek,746,50
Yushan Shao,747,49
Maya Iyengar,748,49
Mia Horvit,749,49
Mayu Crossley,750,49
Edda Mamedova,751,49
Shruti Ahlawat,752,49
Peangtarn Plipuech,753,48
Vlada Mincheva,754,48
Jenna Defalco,755,48
Alyssa Réguer,756,48
Yuliana Lizarazo,757,47
Ellie Schoppe,758,47
María Fernanda Herazo,759,47
